rank,duration_seconds
0,154.770849
    1,154.423598
    2,154.688375
    3,154.768370
    4,155.436987
    5,155.256006
    6,154.765895
    7,155.180117
    8,153.780971
    9,153.656802
    10,153.857213
   11,153.359766
   12,153.795634
   13,153.231450
   14,153.283660
   15,153.317598
   16,153.272125
   17,153.691696
   18,153.230817
   19,152.670285
   20,152.523929
   21,151.645660
   22,154.359794
   23,153.718617
   24,153.603616
   25,154.083082
   26,153.541122
   27,152.378742
   28,153.586736
   29,152.767083
   30,153.969898
   31,153.344026
   32,153.704626
   33,153.009994
   34,152.897504
   35,152.920961
   36,166.413149
   37,164.598473
   38,165.442692
   39,166.181766
   40,166.131231
   41,166.665756
   42,166.677948
   43,167.575217
   44,166.288466
   45,166.793045
   46,166.030893
   47,166.170402
   48,153.686004
   49,153.462751
   50,153.826341
   51,153.297137
   52,153.257108
   53,153.386442
   54,152.646356
   55,150.396163
   56,153.614546
   57,152.889004
   58,153.484699
   59,152.759824
   60,151.553694
   61,150.767681
   62,152.010025
   63,151.557287
   64,151.392685
   65,151.817731
   66,152.790240
   67,151.729746
   68,152.655689
   69,153.171479
   70,152.821491
   71,152.994000
   72,153.278892
   73,152.553820
   74,153.533054
   75,153.405759
   76,153.535109
   77,153.372351
   78,152.558024
   79,152.487544
   80,153.193235
   81,152.581396
   82,152.650621
   83,152.638480
   84,153.076429
   85,153.940170
   86,153.691180
   87,154.008759
   88,153.999379
   89,153.468095
   90,153.537206
   91,153.242651
   92,154.638099
   93,154.313878
   94,152.910849
   95,152.684370
   96,153.468285
   97,152.856711
   98,152.367451
   99,153.773291
   100,152.904880
  101,153.407607
  102,153.131186
  103,152.927538
  104,154.164004
  105,153.218211
  106,152.098415
  107,152.409583
  108,152.213535
  109,152.431270
  110,152.724419
  111,153.459620
  112,153.154061
  113,153.200954
  114,153.605096
  115,152.842435
  116,151.617762
  117,152.620158
  118,150.699497
  119,150.803117
  120,154.074820
  121,153.820436
  122,153.488122
  123,153.468377
  124,152.312742
  125,152.465245
  126,152.278196
  127,152.351423
  128,152.715760
  129,153.610094
  130,151.456159
  131,152.109402
  132,153.047939
  133,154.444458
  134,153.782339
  135,153.183748
  136,153.307361
  137,153.483536
  138,152.496711
  139,152.066166
  140,153.086691
  141,151.882553
  142,152.753218
  143,151.519461
  144,152.454933
  145,151.949673
  146,152.803601
  147,153.564370
  148,153.387256
  149,153.471521
  150,152.026177
  151,152.236202
  152,152.394833
  153,153.334149
  154,152.468441
  155,151.686222
  156,153.276383
  157,153.260636
  158,153.041058
  159,154.003596
  160,152.495661
  161,152.827923
  162,152.516680
  163,151.532128
  164,153.716829
  165,153.679816
  166,152.839503
  167,152.613340
  168,153.625607
  169,153.370054
  170,152.931664
  171,152.619824
  172,153.631929
  173,153.104900
  174,152.619678
  175,151.873948
  176,152.599851
  177,152.010120
  178,152.111988
  179,152.636129
  180,153.292278
  181,152.206554
  182,153.673944
  183,153.539657
  184,152.711769
  185,152.889594
  186,152.099086
  187,153.060498
  188,151.892137
  189,151.022929
  190,151.198518
  191,152.333806
  192,152.945713
  193,152.924428
  194,152.697661
  195,152.792464
  196,152.194588
  197,152.014525
  198,150.996012
  199,152.258045
  200,152.640664
  201,151.983115
  202,153.007166
  203,152.954627
  204,154.768849
  205,154.638690
  206,153.627300
  207,153.804981
  208,153.327282
  209,153.718862
  210,153.172581
  211,153.557788
  212,153.138673
  213,152.787315
  214,152.583434
  215,153.562438
  216,153.850174
  217,153.375180
  218,154.473355
  219,154.418243
  220,153.212107
  221,153.638945
  222,155.346549
  223,155.267811
  224,153.445004
  225,154.320138
  226,152.454604
  227,152.944280
  228,154.164730
  229,153.755268
  230,154.400936
  231,154.026611
  232,154.457272
  233,153.726092
  234,153.018187
  235,153.191655
  236,153.281832
  237,152.960943
  238,153.101138
  239,152.756021
  240,153.978662
  241,153.099818
  242,152.181697
  243,153.582320
  244,154.510035
  245,154.376074
  246,154.155103
  247,154.420618
  248,152.513106
  249,153.437769
  250,154.015164
  251,153.769121
  252,153.583776
  253,153.355477
  254,152.931576
  255,152.640752
  256,152.638315
  257,152.706888
  258,152.595762
  259,152.852422
  260,153.816726
  261,153.248836
  262,151.601853
  263,151.903636
  264,153.218782
  265,152.530124
  266,153.992018
  267,153.369666
  268,152.864249
  269,151.944495
  270,152.307862
  271,152.958468
  272,153.591110
  273,152.876350
  274,153.287324
  275,153.152557
  276,153.502228
  277,153.786621
  278,151.936031
  279,153.893667
  280,154.692109
  281,154.004032
  282,153.262002
  283,153.769219
  284,153.873054
  285,154.535270
  286,153.658872
  287,153.749241
  288,153.592293
  289,152.619935
  290,152.967953
  291,152.559691
  292,153.358929
  293,153.317196
  294,153.728362
  295,154.020208
  296,154.002527
  297,153.676123
  298,153.550884
  299,153.809864
  300,152.363574
  301,152.424656
  302,155.139864
  303,154.645114
  304,153.393469
  305,152.712313
  306,153.655466
  307,153.418387
  308,153.986280
  309,154.035440
  310,153.120606
  311,153.332956
  312,152.482160
  313,153.049639
  314,151.324465
  315,152.224190
  316,152.604212
  317,152.603090
  318,152.033927
  319,152.694177
  320,152.060435
  321,150.526447
  322,151.689232
  323,151.206160
  324,153.256697
  325,153.670639
  326,155.113108
  327,153.931690
  328,151.462532
  329,152.109669
  330,152.097008
  331,152.207952
  332,154.995866
  333,154.460932
  334,152.142394
  335,152.285764
  336,153.132282
  337,152.156119
  338,152.317832
  339,152.748075
  340,151.825567
  341,151.667341
  342,152.243059
  343,153.066762
  344,151.844123
  345,151.430844
  346,152.723395
  347,153.311514
  348,153.988031
  349,153.845125
  350,153.595108
  351,152.525658
  352,152.765307
  353,152.280643
  354,154.064534
  355,153.718182
  356,153.314790
  357,153.462325
  358,152.899551
  359,152.889760
  360,154.019655
  361,153.917372
  362,153.226474
  363,153.317550
  364,154.268162
  365,153.938981
  366,153.292190
  367,153.214595
  368,152.588545
  369,153.216404
  370,153.178690
  371,152.155988
  372,153.415189
  373,152.366405
  374,154.544495
  375,153.997942
  376,153.790163
  377,152.938738
  378,153.155789
  379,152.105288
  380,153.438651
  381,153.712919
  382,153.193871
  383,152.954625
  384,153.261822
  385,154.024967
  386,153.412330
  387,153.229824
  388,152.031287
  389,152.205385
  390,152.436833
  391,152.560726
  392,152.333999
  393,152.798416
  394,151.255485
  395,151.354872
  396,153.134475
  397,153.104112
  398,153.203470
  399,153.459635
  400,153.321398
  401,153.514499
  402,151.650784
  403,151.830883
  404,152.320767
  405,152.336998
  406,151.572797
  407,151.470476
  408,152.957889
  409,152.691004
  410,153.495132
  411,153.340094
  412,152.343456
  413,151.804229
  414,153.040965
  415,153.044279
  416,152.400218
  417,152.403010
  418,151.931402
  419,152.292159
  420,153.387845
  421,153.275857
  422,152.456509
  423,152.647321
  424,152.010786
  425,152.331499
  426,152.392445
  427,152.749966
  428,152.324760
  429,151.769789
  430,152.016062
  431,152.332062
  432,152.782420
  433,153.483149
