rank,duration_seconds
0,146.623442
 1,146.238983
 2,145.758316
 3,146.096494
 4,146.689313
 5,146.607484
 6,145.162348
 7,146.398638
 8,146.098344
 9,146.554349
 10,145.246613
11,146.293724
12,146.883989
13,146.834279
14,146.980243
15,145.092867
16,144.049818
17,143.780614
18,144.798412
19,144.590378
20,146.259914
21,145.467350
22,145.075961
23,145.562323
24,150.073581
25,149.315638
26,150.277710
27,150.306135
28,150.226345
29,149.182063
30,149.581854
31,150.313852
32,149.780185
33,149.664952
34,148.661016
35,147.094932
36,150.993449
37,151.166935
38,150.201933
39,149.386363
40,151.043404
41,149.878457
42,150.586633
43,149.480192
44,150.647456
45,150.167086
46,149.852335
47,149.445699
