#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
91.3%	1370000	-2039627.8109689243	300.5955140892891	1332.863064055494	0	--
92.0%	1380000	-2053777.1516911574	300.75790382616924	1178.16533358513	94	7:21
92.7%	1390000	-2054923.6354001425	299.4552495611267	1173.489199561712	93	6:48
93.3%	1400000	-2055549.7015664093	301.43727782370405	1170.6308180369595	92.6	6:13
94.0%	1410000	-2059035.032242924	301.3283655081877	1171.845453643511	92.7	5:35
94.7%	1420000	-2057748.1177794114	302.13833061948947	1173.684602165163	92.8	4:58
95.3%	1430000	-2052790.6881322525	302.53771957389864	1173.3379406802121	92.8	4:20
96.0%	1440000	-2055306.8327392153	302.3256937612663	1172.1886943431166	92.7	3:43
96.7%	1450000	-2055004.821944628	301.7768407498606	1171.5084873787537	92.7	3:06
97.3%	1460000	-2059384.2479598224	302.082096745291	1171.0905030167144	92.7	2:29
98.0%	1470000	-2055986.211209841	300.0130745956747	1171.2602625842399	92.7	1:51
98.7%	1480000	-2055435.02057527	300.97106267332583	1171.6975994016796	92.7	1:14
99.3%	1490000	-2055909.3959053345	301.1759569696411	1171.7166822981787	92.7	0:37
100.0%	1500000	-2055642.8290440962	299.95734973994814	1169.51617028798	92.7	0:00
100.7%	1510000	-2058303.8504933752	301.29859359629194	1170.6646785504497	92.7	23:59:23
101.3%	1520000	-2055862.167307116	300.75098500199596	1171.805024243268	92.7	23:58:46
102.0%	1530000	-2056556.8699491248	301.41104622020123	1170.4598356197343	92.7	23:58:09
102.7%	1540000	-2058414.6539159156	301.17856798875	1173.4388666390375	92.7	23:57:31
103.3%	1550000	-2057871.4560654275	300.9050574228889	1173.037310353833	92.7	23:56:54
104.0%	1560000	-2057408.7893625386	301.10840790185784	1172.2092053745855	92.7	23:56:17
104.7%	1570000	-2054843.4028739668	301.28285727214876	1173.3141388838899	92.7	23:55:40
105.3%	1580000	-2056663.3942502886	301.19093610355753	1173.2412632134317	92.7	23:55:02
106.0%	1590000	-2058319.5109702796	301.3497958462229	1172.0943048929973	92.7	23:54:25
106.7%	1600000	-2056873.9758716114	301.09042509878043	1169.6582736666853	92.7	23:53:48
107.3%	1610000	-2055454.1264688298	302.31223562236846	1172.6885167863236	92.7	23:53:10
108.0%	1620000	-2056021.1812917367	300.31801209136853	1174.3244055135935	92.7	23:52:33
108.7%	1630000	-2058348.7837292515	301.7840181226288	1171.613529530383	92.7	23:51:56
109.3%	1640000	-2056990.0050722621	301.2532060033206	1172.338456864881	92.7	23:51:19
110.0%	1650000	-2057267.1969696023	302.4908554942596	1171.7992301484896	92.7	23:50:41
110.7%	1660000	-2058515.5914242156	301.6465229043949	1170.4870401098963	92.7	23:50:04
111.3%	1670000	-2057028.8608295843	301.62149647752227	1171.3643102553867	92.7	23:49:27
112.0%	1680000	-2055862.6244032085	302.0772021443037	1174.224671254694	92.7	23:48:49
112.7%	1690000	-2055461.6531081572	300.7271629316001	1171.130993639647	92.7	23:48:12
113.3%	1700000	-2054647.845092833	301.520041887376	1169.8572904500022	92.7	23:47:35
114.0%	1710000	-2058192.788199477	300.49863725319295	1170.6774556717453	92.7	23:46:57
114.7%	1720000	-2056419.6255255565	300.34286603396964	1173.9362452884752	92.7	23:46:20
115.3%	1730000	-2057180.5771949925	301.14652458854385	1171.074631911361	92.7	23:45:43
116.0%	1740000	-2056600.8791452907	300.17363369081744	1171.9954988956877	92.7	23:45:06
116.7%	1750000	-2057504.1260555387	300.90664672102577	1172.7811451438104	92.7	23:44:28
117.3%	1760000	-2057799.2597334795	301.4955953947674	1171.1496007685935	92.7	23:43:51
118.0%	1770000	-2056615.0378551222	300.39483794732587	1171.3769747689053	92.7	23:43:14
118.7%	1780000	-2054932.639064595	300.94926084466823	1173.4351700241805	92.7	23:42:36
119.3%	1790000	-2056896.9460799731	300.9136009372558	1170.0897869710323	92.7	23:41:59
120.0%	1800000	-2056437.874132	300.7302864155804	1171.8589544488693	92.7	23:41:22
120.7%	1810000	-2056804.6729849465	301.53036372058307	1171.3887157757247	92.7	23:40:44
121.3%	1820000	-2054847.7512508705	302.40658323022114	1171.3643758855426	92.7	23:40:07
122.0%	1830000	-2057887.9800067842	301.97316031320815	1174.326674037337	92.7	23:39:30
