rank,duration_seconds
0,195.333434
 1,197.472784
 2,196.812629
 3,193.973880
 4,192.328978
 5,192.345088
 6,194.699965
 7,195.289423
 8,195.708614
 9,191.366417
 10,194.538164
11,194.791521
12,190.170014
13,191.331376
14,195.409122
15,194.259332
16,196.138272
17,190.727499
18,196.052675
19,195.212578
20,193.085391
21,194.777890
22,196.072008
23,195.753137
24,195.175318
25,193.920559
26,195.651460
27,194.475874
28,196.912887
29,193.063730
30,190.123168
31,197.002316
32,196.490356
33,198.145686
34,196.365896
35,198.186400
36,194.513554
37,193.188609
38,195.552905
39,191.004565
40,192.849776
41,195.851448
42,196.911135
43,189.082893
44,191.722629
45,195.664242
46,196.090873
47,193.130783
