rank,duration_seconds
0,188.858023
   1,187.576112
   2,191.574279
   3,189.869809
   4,193.332505
   5,195.167133
   6,194.701708
   7,190.573221
   8,194.790630
   9,192.896904
   10,192.700983
  11,194.883457
  12,191.356650
  13,194.519878
  14,192.908261
  15,190.265031
  16,194.526457
  17,189.403316
  18,190.819741
  19,193.672640
  20,194.138701
  21,194.814347
  22,191.931031
  23,193.994284
  24,194.170742
  25,193.250249
  26,204.145594
  27,192.495227
  28,187.806511
  29,192.339679
  30,191.759978
  31,195.940068
  32,193.506090
  33,193.647504
  34,193.443099
  35,192.740441
  36,191.670711
  37,196.054147
  38,193.774497
  39,188.354253
  40,195.859159
  41,194.851562
  42,189.119904
  43,194.674669
  44,193.214396
  45,192.336190
  46,193.223561
  47,193.314000
  48,187.685603
  49,190.623060
  50,193.815174
  51,201.693610
  52,194.224755
  53,191.369865
  54,192.323784
  55,189.496011
  56,193.648785
  57,191.165890
  58,194.419508
  59,191.730278
  60,194.115306
  61,193.429608
  62,196.099597
  63,196.922900
  64,194.562497
  65,194.090304
  66,192.355511
  67,195.450223
  68,195.800439
  69,195.612541
  70,194.314308
  71,191.383658
  72,193.963405
  73,187.387778
  74,194.896869
  75,188.567926
  76,195.962719
  77,193.079941
  78,193.256418
  79,190.546815
  80,191.741685
  81,188.499848
  82,194.781360
  83,188.987732
  84,193.336554
  85,187.726516
  86,194.277487
  87,192.127529
  88,196.527854
  89,194.345383
  90,194.768830
  91,193.951262
  92,195.744775
  93,189.333609
  94,191.375463
  95,189.719907
  96,195.382528
  97,194.515259
  98,193.519192
  99,191.288438
  100,191.109589
 101,191.402694
 102,195.992814
 103,194.824488
 104,196.993120
 105,195.234852
 106,193.278788
 107,193.228689
 108,194.786795
 109,194.345308
 110,192.426500
 111,196.508835
 112,195.047659
 113,190.170192
 114,194.997304
 115,194.436295
 116,191.843800
 117,194.617817
 118,196.608160
 119,192.740196
 120,196.372527
 121,196.041476
 122,194.578415
 123,193.924134
 124,194.260416
 125,189.204624
 126,192.260185
 127,191.724727
 128,194.658088
 129,195.660784
 130,196.134818
 131,191.414339
 132,193.409853
 133,192.541662
 134,189.373058
 135,125.806952
 136,189.306341
 137,195.422826
 138,193.745150
 139,193.960046
 140,193.085010
 141,197.253626
 142,196.039302
 143,192.166032
 144,193.977492
 145,190.533423
 146,195.786735
 147,195.779844
 148,195.014563
 149,194.379064
 150,194.275137
 151,188.498285
 152,196.128362
 153,194.618824
 154,192.026923
 155,190.436295
 156,194.877163
 157,189.878197
 158,194.115151
 159,190.238450
 160,194.049663
 161,193.883420
 162,194.385677
 163,191.705138
 164,191.096009
 165,190.542691
 166,193.919971
 167,194.056188
 168,193.550994
 169,192.793877
 170,196.454565
 171,193.010260
 172,193.852522
 173,194.640304
 174,195.548753
 175,193.741211
 176,193.771370
 177,190.739295
 178,195.251578
 179,186.893243
 180,194.456193
 181,193.928955
 182,195.676544
 183,195.510534
 184,196.577127
 185,195.200418
 186,195.247657
 187,193.440534
 188,195.153597
 189,192.005987
 190,193.640168
 191,193.142115
 192,194.518961
 193,191.276046
 194,193.858752
 195,190.894660
 196,193.949060
 197,190.095600
 198,194.266751
 199,189.460151
 200,193.732043
 201,192.292757
 202,189.073143
 203,195.055544
 204,194.167867
 205,194.400887
 206,196.758399
 207,195.075345
 208,194.812241
 209,193.854990
 210,194.411139
 211,192.235657
 212,192.403611
 213,193.693442
 214,191.119321
 215,190.746810
 216,175.675160
 217,177.373572
 218,193.875902
 219,203.305226
 220,195.063164
 221,190.644383
 222,191.136204
 223,190.633934
 224,191.167996
 225,196.219768
 226,193.143909
 227,194.908953
 228,193.461029
 229,192.916170
 230,203.071946
 231,192.207329
 232,193.609440
 233,190.468956
 234,194.119836
 235,191.415193
 236,192.801685
 237,195.301640
 238,196.490999
 239,193.253675
 240,193.290332
 241,202.874988
 242,192.533866
 243,187.816430
 244,188.997011
 245,194.296977
 246,194.116329
 247,195.885433
 248,191.462599
 249,195.675354
 250,193.072088
 251,188.542490
 252,191.502180
 253,190.873470
 254,194.946296
 255,193.842245
 256,193.163428
 257,190.566591
 258,194.626501
 259,195.825749
 260,193.742489
 261,195.741253
 262,203.420603
 263,195.220822
 264,194.933716
 265,194.387861
 266,195.849584
 267,193.822147
 268,193.064499
 269,192.487634
 270,186.503150
 271,194.769480
 272,192.841466
 273,190.046509
 274,192.405668
 275,192.206336
 276,192.015190
 277,190.064297
 278,193.401539
 279,193.157840
 280,194.127609
 281,196.077342
 282,150.729187
 283,192.301261
 284,193.489928
 285,190.606850
 286,195.723357
 287,194.666673
 288,195.251048
 289,195.795233
 290,197.656346
 291,196.928106
 292,192.360454
 293,192.282418
 294,190.785053
 295,193.686538
 296,193.894730
 297,196.615074
 298,194.935492
 299,189.472365
 300,192.610207
 301,190.712990
 302,198.735839
 303,192.021535
 304,192.997048
 305,191.729676
 306,192.551812
 307,192.164245
 308,192.170507
 309,191.301267
 310,189.933430
 311,193.937555
 312,128.853745
 313,189.796877
 314,192.090197
 315,194.946045
 316,195.445333
 317,197.679974
 318,195.041009
 319,194.743366
 320,190.551120
 321,194.099508
 322,190.714749
 323,193.318050
 324,194.977980
 325,192.337536
 326,193.413647
 327,195.232100
 328,189.556783
 329,192.021218
 330,193.710923
 331,193.365084
 332,194.080854
 333,189.300277
 334,194.126578
 335,189.588601
 336,193.867540
 337,157.429447
 338,196.089953
 339,194.789538
 340,193.754110
 341,193.869339
 342,197.459348
 343,189.666578
 344,194.502603
 345,194.951464
 346,189.834814
 347,191.462264
 348,195.843876
 349,195.035988
 350,203.569974
 351,194.312042
 352,196.036159
 353,204.954614
 354,195.611855
 355,196.607959
 356,196.748641
 357,193.765396
 358,187.916876
 359,195.595189
 360,194.708337
 361,190.797420
 362,191.121933
 363,190.545337
 364,193.602029
 365,193.848824
 366,195.328926
 367,192.941997
 368,195.274226
 369,194.309824
 370,190.051547
 371,188.728672
 372,194.036785
 373,184.182081
 374,192.517286
 375,189.474307
 376,193.944363
 377,193.518397
 378,191.224452
 379,190.607299
 380,193.117154
 381,194.350660
 382,192.473859
 383,190.742921
 384,201.994307
 385,189.944836
 386,194.475670
 387,192.434843
 388,178.091667
 389,192.147685
 390,194.248455
 391,189.202209
 392,201.836134
 393,193.450639
 394,195.050590
 395,195.368814
 396,193.410993
 397,189.059201
 398,193.915282
 399,193.249343
 400,192.926565
 401,194.889719
 402,195.098867
 403,195.311722
 404,195.286375
 405,194.083113
 406,193.592742
 407,195.458600
 408,192.871426
 409,193.437638
 410,194.032864
 411,195.138329
 412,129.984139
 413,187.977898
 414,194.098563
 415,189.198203
 416,193.889524
 417,195.190040
 418,193.059621
 419,192.722698
 420,193.900470
 421,188.203043
 422,190.352320
 423,194.158913
 424,194.170945
 425,191.034485
 426,195.998767
 427,196.330449
 428,192.175670
 429,191.961376
 430,195.570101
 431,195.199037
 432,194.849821
 433,194.682405
 434,190.678890
 435,189.439384
 436,189.489190
 437,189.940728
 438,195.554845
 439,194.504087
 440,191.589546
 441,192.237957
 442,191.372304
 443,193.802672
 444,195.030143
 445,188.070871
 446,191.276664
 447,145.681417
 448,192.323013
 449,127.758518
 450,193.117949
 451,191.196434
 452,196.101507
 453,192.294613
 454,196.975288
 455,190.233390
 456,191.617718
 457,193.648780
 458,191.662201
 459,190.896646
 460,194.418115
 461,192.797058
 462,191.924176
 463,191.879931
 464,196.028132
 465,189.063876
 466,194.387622
 467,189.337612
 468,189.457567
 469,190.556951
 470,195.601021
 471,190.379810
 472,193.873465
 473,192.548069
 474,191.463220
 475,189.882210
 476,193.986186
 477,192.938829
 478,192.595027
 479,190.965790
 480,191.293797
 481,192.282049
 482,193.781298
 483,189.791953
 484,141.567699
 485,192.829337
 486,194.415738
 487,194.620059
 488,195.623591
 489,193.492260
 490,194.493291
 491,195.725863
 492,190.514327
 493,193.189957
 494,192.815879
 495,141.747559
 496,194.570640
 497,198.967941
 498,193.765976
 499,194.433822
 500,142.904764
 501,188.744257
 502,193.858774
 503,195.521573
 504,193.058345
 505,198.135131
 506,195.357032
 507,193.264852
 508,195.558712
 509,195.455452
 510,194.959598
 511,194.564810
 512,194.659137
 513,195.540236
 514,193.752208
 515,192.414529
 516,194.742741
 517,195.519495
 518,196.405966
 519,195.825115
 520,194.525996
 521,194.692272
 522,197.006584
 523,195.552824
 524,195.296707
 525,196.656143
 526,194.408880
 527,194.157691
 528,195.214607
 529,188.726550
 530,195.065045
 531,194.014799
 532,192.371870
 533,194.615651
 534,194.386992
 535,189.598449
 536,191.963434
 537,176.016044
 538,195.357510
 539,190.002722
 540,193.210909
 541,193.698070
 542,194.198496
 543,191.117411
 544,189.082695
 545,193.980455
 546,196.625124
 547,190.911583
 548,195.906221
 549,194.516112
 550,193.801718
 551,191.173391
 552,194.616723
 553,194.651778
 554,195.838208
 555,194.183059
 556,194.080384
 557,194.575872
 558,195.260789
 559,193.183328
 560,188.523035
 561,193.820084
 562,188.709857
 563,190.076022
 564,194.130306
 565,193.797055
 566,195.509611
 567,194.435384
 568,192.919027
 569,189.385802
 570,193.635004
 571,194.737882
 572,194.518711
 573,194.646504
 574,192.232775
 575,190.138607
 576,190.694669
 577,190.813223
 578,191.035069
 579,127.905440
 580,195.496857
 581,194.478331
 582,194.792334
 583,188.201950
 584,197.222459
 585,192.011663
 586,195.858257
 587,189.281207
 588,194.219777
 589,186.823173
 590,192.029508
 591,193.157790
 592,192.222291
 593,190.205130
 594,194.872386
 595,193.948696
 596,195.215024
 597,190.373913
 598,194.706951
 599,194.954240
 600,196.565728
 601,195.030728
 602,194.954325
 603,191.461999
 604,188.780864
 605,194.998957
 606,193.507854
 607,194.382275
 608,194.507760
 609,193.989128
 610,196.099717
 611,192.396380
 612,192.972245
 613,194.217806
 614,194.671407
 615,195.115852
 616,194.954109
 617,194.895069
 618,142.548352
 619,195.001410
 620,192.618944
 621,188.857211
 622,194.377804
 623,195.662747
 624,142.881747
 625,192.654553
 626,194.808960
 627,190.266213
 628,196.626905
 629,195.963882
 630,189.550533
 631,193.132987
 632,191.757565
 633,193.575497
 634,196.039323
 635,191.461456
 636,197.318548
 637,193.928861
 638,196.984389
 639,190.410902
 640,195.574327
 641,186.566440
 642,191.888816
 643,195.209572
 644,195.984142
 645,194.939093
 646,194.263395
 647,189.465338
 648,193.216505
 649,192.541142
 650,195.115828
 651,189.707740
 652,193.805355
 653,190.329688
 654,194.269044
 655,195.943383
 656,191.422810
 657,194.100759
 658,194.969696
 659,191.038247
 660,203.766065
 661,193.126792
 662,194.647281
 663,191.441405
 664,193.783768
 665,193.375907
 666,190.021141
 667,195.143373
 668,190.576880
 669,194.939076
 670,191.846829
 671,193.905139
 672,190.708417
 673,195.096089
 674,190.580014
 675,192.325022
 676,193.824073
 677,196.390956
 678,193.818178
 679,195.100334
 680,194.313707
 681,194.504907
 682,191.554328
 683,192.219929
 684,195.151761
 685,195.543713
 686,194.236565
 687,192.760929
 688,191.064284
 689,192.888282
 690,188.693599
 691,190.059579
 692,192.801691
 693,189.309495
 694,127.836266
 695,189.049986
 696,194.829727
 697,189.074228
 698,195.458889
 699,190.368360
 700,194.642748
 701,190.779377
 702,195.942023
 703,194.004519
 704,142.974600
 705,189.581818
 706,189.594180
 707,191.146965
 708,193.424362
 709,193.268441
 710,195.753911
 711,192.372668
 712,188.827055
 713,195.514126
 714,195.641513
 715,193.802221
 716,194.491976
 717,194.015888
 718,189.675711
 719,195.189446
 720,194.735137
 721,190.308947
 722,193.950171
 723,191.885557
 724,191.751254
 725,190.594125
 726,191.967729
 727,191.010345
 728,192.918556
 729,192.537071
 730,189.356555
 731,190.691776
 732,194.738437
 733,193.110383
 734,194.049428
 735,193.959279
 736,194.648233
 737,193.681429
 738,195.425417
 739,193.077647
 740,196.023279
 741,193.533276
 742,194.515854
 743,192.461134
 744,194.760846
 745,195.376541
 746,193.565162
 747,203.511675
 748,188.686858
 749,195.064622
 750,201.385415
 751,190.620820
 752,192.957486
 753,190.372397
 754,194.090756
 755,191.321664
 756,194.561195
 757,196.112510
 758,194.152987
 759,195.003485
 760,194.210207
 761,143.284490
 762,195.159104
 763,190.030455
 764,192.253477
 765,195.648382
 766,194.137285
 767,188.400559
 768,195.429926
 769,196.931154
 770,194.812112
 771,196.354673
 772,202.381947
 773,196.377542
 774,195.015985
 775,196.771823
 776,195.389796
 777,196.604072
 778,196.903070
 779,190.673342
 780,195.220341
 781,191.981359
 782,193.241125
 783,193.349720
 784,194.867446
 785,194.161762
 786,195.880413
 787,187.644344
 788,197.378866
 789,195.978484
 790,194.830383
 791,197.317382
 792,196.029913
 793,189.308326
 794,199.025946
 795,197.108567
 796,195.721515
 797,192.442725
 798,190.740056
 799,191.455460
 800,195.911886
 801,199.333832
 802,200.065103
 803,196.119349
 804,196.598273
 805,195.646621
 806,196.464916
 807,192.237081
 808,194.798523
 809,197.295795
 810,196.372654
 811,195.071782
 812,194.079098
 813,196.666753
 814,196.222788
 815,195.449621
 816,196.775988
 817,195.453086
 818,196.257762
 819,193.848080
 820,195.778040
 821,196.168539
 822,194.739257
 823,190.529165
 824,194.189473
 825,192.621723
 826,191.581276
 827,189.884913
 828,189.487918
 829,194.218953
 830,193.084159
 831,194.954670
 832,195.365300
 833,195.992960
 834,194.079468
 835,194.886773
 836,194.780872
 837,194.216265
 838,194.837644
 839,189.317536
 840,196.528977
 841,191.144395
 842,195.904187
 843,126.779252
 844,193.642324
 845,197.368493
 846,196.709026
 847,197.058807
 848,197.398888
 849,198.656439
 850,190.263037
 851,194.432208
 852,195.482017
 853,197.444024
 854,194.459557
 855,194.526772
 856,191.626729
 857,191.930852
 858,192.926610
 859,190.612314
 860,191.630294
 861,191.971210
 862,194.891756
 863,190.993773
 864,197.598028
 865,196.578613
 866,195.537979
 867,194.676915
 868,196.630985
 869,197.712178
 870,196.021294
 871,200.974648
 872,195.353525
 873,194.935461
 874,195.445176
 875,192.923413
 876,195.320633
 877,195.728221
 878,193.309584
 879,192.926212
 880,194.430409
 881,194.988151
 882,195.980256
 883,194.414656
 884,126.682299
 885,189.838913
 886,195.889792
 887,189.336912
 888,190.956240
 889,195.378290
 890,190.406296
 891,195.759826
 892,196.024400
 893,189.496915
 894,197.180565
 895,194.194810
 896,199.389113
 897,193.067921
 898,189.377873
 899,195.881644
 900,196.414843
 901,191.170901
 902,194.406080
 903,191.907836
 904,193.875961
 905,195.411170
 906,195.624384
 907,195.597937
 908,193.868489
 909,192.295699
