rank,duration_seconds
0,193.792485
 1,195.365439
 2,194.215671
 3,192.509426
 4,193.235662
 5,190.202311
 6,193.016170
 7,194.274709
 8,195.751193
 9,191.551859
 10,196.748826
11,194.565012
12,189.083421
13,190.659400
14,193.965534
15,143.679342
16,194.389782
17,189.055938
18,195.570825
19,193.684782
20,193.258070
21,192.545391
22,193.725945
23,193.052260
24,195.362929
25,191.116049
26,196.069225
27,193.447410
28,193.940942
29,193.827465
30,188.326269
31,195.180751
32,197.456476
33,198.178842
34,196.497586
35,188.428913
36,191.746895
37,192.468472
38,196.190687
39,189.892582
40,199.573179
41,195.828676
42,128.373671
43,187.416895
44,189.705256
45,194.303888
46,193.765872
47,174.093079
48,196.097806
49,196.993107
50,193.931894
51,128.591000
52,194.699939
53,189.649865
54,194.775352
55,195.992022
56,197.131055
57,190.082910
58,192.510905
59,193.398016
60,193.769314
61,194.094217
62,196.545159
63,195.903823
64,191.492841
65,190.361216
66,196.647086
67,195.306338
68,197.630285
69,196.494453
70,195.875593
71,195.300689
72,196.248953
73,195.985722
74,194.973394
75,195.909370
76,196.764441
77,194.306712
78,195.505606
79,195.822883
80,194.059868
81,197.201440
82,196.627727
83,193.722650
84,195.261719
85,187.843224
86,195.321616
87,189.702445
88,195.486939
89,204.888017
90,195.578055
91,191.157728
92,195.345750
93,196.814491
94,192.260163
95,193.839182
