rank,duration_seconds
0,109.613880
 1,109.870643
 2,109.365857
 3,109.736583
 4,106.510874
 5,106.712342
 6,109.241906
 7,109.204351
 8,109.191055
 9,107.996935
 10,108.124672
11,107.409248
12,109.729363
13,109.859721
14,109.838866
15,109.604267
16,108.725234
17,109.229408
18,108.321342
19,108.791294
20,109.394893
21,109.027738
22,107.690997
23,108.614083
24,110.947163
25,110.445650
26,110.554372
27,110.192247
28,109.610458
29,109.334150
30,109.779985
31,109.980870
32,110.180749
33,110.422872
34,109.855156
35,109.228822
36,109.324047
37,108.328254
38,109.433926
39,109.475198
40,108.775214
41,109.589017
42,109.349103
43,110.140254
44,110.199768
45,109.854288
46,109.938891
47,109.407691
48,112.173902
49,111.430961
50,111.426837
51,110.748087
52,110.951492
53,111.328378
54,111.281524
55,111.090204
56,111.912347
57,111.975889
58,111.141618
59,111.754763
60,114.060207
61,113.677747
62,113.873659
63,113.618588
64,112.438359
65,113.425111
66,112.663658
67,112.821611
68,112.681230
69,113.796658
70,112.164239
71,112.506313
72,112.059656
73,111.627811
74,112.073282
75,112.174311
76,112.122363
77,111.602516
78,112.285717
79,112.212220
80,112.089973
81,111.919173
82,111.156528
83,112.089731
84,112.361180
85,112.090447
86,112.258968
87,112.116236
88,111.983978
89,112.195771
90,111.767459
91,111.677626
92,112.292144
93,112.181594
94,111.271752
95,110.532492
