rank,duration_seconds
0,111.293309
  1,111.037989
  2,111.352458
  3,111.200899
  4,109.062649
  5,108.476658
  6,110.497832
  7,110.876741
  8,110.130385
  9,110.553516
  10,110.028650
 11,109.997699
 12,111.485124
 13,111.290605
 14,110.936644
 15,111.280734
 16,110.459033
 17,109.747268
 18,110.929330
 19,110.796199
 20,110.612413
 21,110.635527
 22,109.452428
 23,109.097063
 24,112.482072
 25,112.084738
 26,111.517885
 27,112.134494
 28,111.719225
 29,111.107837
 30,111.183207
 31,111.214226
 32,111.880857
 33,111.576246
 34,111.631873
 35,111.062786
 36,110.674893
 37,110.522727
 38,111.044126
 39,110.855322
 40,110.690844
 41,110.910159
 42,110.940308
 43,110.510525
 44,111.080301
 45,111.012385
 46,110.326966
 47,110.946694
 48,110.991290
 49,110.791459
 50,110.269875
 51,110.179436
 52,110.215880
 53,109.894309
 54,109.850805
 55,109.973276
 56,110.666526
 57,110.160968
 58,109.602377
 59,109.541102
 60,111.217134
 61,110.044440
 62,111.121795
 63,110.939560
 64,110.131912
 65,110.103082
 66,108.836213
 67,109.813576
 68,110.671224
 69,110.050906
 70,108.647809
 71,109.429120
 72,111.176690
 73,111.293633
 74,110.987570
 75,111.155541
 76,110.635876
 77,111.377697
 78,111.072828
 79,110.875307
 80,111.227279
 81,110.955822
 82,110.147653
 83,110.883372
 84,111.160096
 85,111.298866
 86,111.557941
 87,111.758720
 88,110.518745
 89,111.176994
 90,110.717426
 91,111.123666
 92,111.394734
 93,110.577419
 94,109.394013
 95,110.451558
 96,112.740412
 97,112.177185
 98,112.345025
 99,112.152654
 100,111.992586
101,112.646775
102,111.589138
103,112.095791
104,112.794953
105,112.409042
106,111.902360
107,111.971809
108,112.279646
109,112.125223
110,112.808057
111,112.814948
112,112.561758
113,112.825157
114,112.544926
115,112.195584
116,112.975361
117,112.937200
118,112.076219
119,110.893917
120,111.903039
121,112.105047
122,112.100210
123,111.751608
124,111.503435
125,111.723851
126,111.775623
127,111.726002
128,111.850123
129,111.934996
130,110.262787
131,111.286395
132,111.327151
133,111.048026
134,110.004418
135,111.420030
136,111.480521
137,111.461596
138,111.741287
139,111.672957
140,111.772503
141,111.070256
142,109.982458
143,111.282810
144,111.885276
145,111.742347
146,111.743107
147,111.620731
148,111.204553
149,111.426233
150,111.175929
151,110.682619
152,111.087213
153,111.163060
154,110.424209
155,110.697566
156,112.802060
157,112.884516
158,112.821141
159,112.427947
160,112.144087
161,112.019001
162,111.687666
163,112.361177
164,112.551561
165,113.087385
166,111.772614
167,111.753681
168,111.679905
169,111.722737
170,111.600537
171,111.155937
172,110.854916
173,111.431759
174,111.357879
175,111.513152
176,110.279880
177,110.085189
178,110.857009
179,111.471066
180,111.855858
181,111.697234
182,112.057987
183,111.612467
184,111.187284
185,111.447779
186,110.031191
187,110.502654
188,111.779362
189,111.816144
190,111.431256
191,111.853538
