rank,duration_seconds
0,109.849556
 1,109.559809
 2,109.524970
 3,109.540414
 4,107.878447
 5,108.097309
 6,109.108618
 7,108.865604
 8,108.350375
 9,108.255676
 10,107.237279
11,107.808579
12,110.264460
13,110.197496
14,110.035101
15,108.877866
16,109.101700
17,108.731204
18,109.643562
19,109.153239
20,109.159967
21,108.768408
22,106.501809
23,108.723473
24,145.894826
25,145.677058
26,145.127173
27,145.631017
28,145.047077
29,144.969494
30,145.424476
31,144.995002
32,145.642776
33,145.981818
34,143.673242
35,144.832139
36,146.464071
37,146.367207
38,146.822650
39,146.152754
40,146.541567
41,146.623802
42,145.619049
43,146.141562
44,146.648262
45,146.293428
46,146.229019
47,146.304327
