rank,duration_seconds
0,928.201138
 1,926.894113
 2,932.585340
 3,935.284844
 4,926.959144
 5,925.976996
 6,937.579482
 7,937.011911
 8,928.895043
 9,930.543230
 10,933.542249
11,930.961306
12,931.499118
13,929.963077
14,937.698573
15,936.207068
16,929.293786
17,928.392486
18,936.100298
19,935.794995
20,926.274690
21,924.448199
22,925.831316
23,923.922259
24,939.082991
25,937.488013
26,926.339254
27,924.244640
28,934.038495
29,934.031406
30,937.919393
31,937.533533
32,932.364839
33,930.803344
34,932.939004
35,932.604337
36,938.690980
37,936.849203
38,934.041624
39,932.064849
40,941.563167
41,940.700346
42,939.370035
43,940.035456
44,940.864784
45,938.660463
46,939.833673
47,939.301595
