rank,duration_seconds
0,934.783393
   1,933.160887
   2,929.597748
   3,928.063386
   4,935.421804
   5,933.530648
   6,937.275276
   7,936.769926
   8,936.843250
   9,936.126036
   10,936.522442
  11,936.556806
  12,934.166814
  13,932.553457
  14,944.745809
  15,943.781733
  16,938.772801
  17,938.274205
  18,931.674200
  19,930.019692
  20,936.548831
  21,934.760028
  22,937.915774
  23,936.979323
  24,944.129177
  25,942.529294
  26,941.380609
  27,940.114016
  28,936.008503
  29,937.013443
  30,932.366982
  31,932.395064
  32,932.441272
  33,930.717012
  34,936.251950
  35,935.923558
  36,941.410313
  37,939.834550
  38,937.329894
  39,935.868825
  40,932.823548
  41,932.757575
  42,940.530924
  43,939.746860
  44,937.375895
  45,934.966802
  46,935.243819
  47,934.939371
  48,934.835761
  49,933.103739
  50,934.953565
  51,933.958392
  52,934.722588
  53,934.529042
  54,934.524950
  55,933.762282
  56,943.354888
  57,940.923691
  58,938.196967
  59,938.000473
  60,933.846473
  61,932.406803
  62,936.790804
  63,936.784088
  64,938.287610
  65,938.290930
  66,937.278701
  67,935.524542
  68,929.066318
  69,928.432998
  70,937.821245
  71,938.186787
  72,936.027422
  73,935.531797
  74,935.770883
  75,933.110829
  76,935.662292
  77,935.210330
  78,933.452055
  79,933.687213
  80,925.566631
  81,923.367064
  82,935.446226
  83,934.362867
  84,936.549764
  85,934.760447
  86,929.658087
  87,929.503094
  88,880.671969
  89,869.919537
  90,935.761893
  91,935.616407
  92,933.377455
  93,932.403210
  94,930.267202
  95,930.145012
  96,942.206393
  97,940.912561
  98,931.584180
  99,931.096267
  100,931.267749
 101,931.808678
 102,932.394101
 103,932.198529
 104,937.014564
 105,934.916728
 106,933.007331
 107,930.411304
 108,934.927338
 109,932.139880
 110,934.849833
 111,936.794765
 112,937.131875
 113,937.842599
 114,935.891496
 115,936.400658
 116,936.502496
 117,934.776369
 118,936.842258
 119,936.443870
 120,939.101696
 121,937.509553
 122,934.029963
 123,932.518815
 124,938.732676
 125,938.846609
 126,933.163572
 127,931.716135
 128,942.220104
 129,940.717931
 130,946.171050
 131,945.870159
 132,938.439827
 133,936.582181
 134,933.629256
 135,931.439429
 136,939.286429
 137,938.257313
 138,933.225720
 139,930.904667
 140,938.922741
 141,938.363798
 142,933.397275
 143,931.541011
 144,939.210579
 145,937.621551
 146,929.122824
 147,925.660870
 148,930.686354
 149,929.380023
 150,931.517228
 151,930.714988
 152,937.769113
 153,936.879563
 154,937.546520
 155,937.648712
 156,933.038652
 157,932.353630
 158,945.476678
 159,943.141972
 160,938.838347
 161,938.080004
 162,937.447362
 163,937.653782
 164,936.733802
 165,935.066834
 166,936.822049
 167,934.734702
 168,932.194624
 169,930.982816
 170,940.631561
 171,938.419060
 172,936.597242
 173,936.340299
 174,923.800303
 175,922.897711
 176,936.082359
 177,934.882786
 178,931.218797
 179,929.132985
 180,939.814037
 181,939.259393
 182,928.508876
 183,928.391901
 184,932.310512
 185,932.457999
 186,943.623813
 187,943.162739
 188,938.574212
 189,936.869617
 190,936.194152
 191,936.275898
 192,944.664678
 193,941.862504
 194,936.638595
 195,934.367828
 196,932.169456
 197,930.416575
 198,927.636269
 199,927.791974
 200,938.004610
 201,935.616414
 202,936.590084
 203,936.476488
 204,941.191365
 205,939.561486
 206,939.360273
 207,937.699005
 208,936.813343
 209,935.675601
 210,940.789131
 211,939.808846
 212,940.566750
 213,939.908771
 214,932.899069
 215,932.269418
 216,938.859327
 217,937.233574
 218,934.923355
 219,934.386774
 220,935.218061
 221,935.291880
 222,936.604894
 223,936.686726
 224,939.945757
 225,938.614626
 226,933.581386
 227,931.832507
 228,942.509913
 229,940.180568
 230,942.090773
 231,937.850587
 232,934.546252
 233,934.962631
 234,933.210870
 235,933.630201
 236,936.615968
 237,935.165627
 238,930.406520
 239,929.531390
 240,939.176526
 241,937.118745
 242,926.864979
 243,925.129628
 244,927.748986
 245,928.353508
 246,933.014966
 247,933.064240
 248,937.832666
 249,936.559770
 250,935.191078
 251,933.729267
 252,934.521634
 253,933.393246
 254,944.064593
 255,942.655537
 256,931.939988
 257,926.061763
 258,932.928469
 259,931.902347
 260,930.781487
 261,929.325968
 262,938.994703
 263,939.337898
 264,941.261000
 265,940.599681
 266,940.418842
 267,940.547914
 268,935.696654
 269,934.664761
 270,940.464306
 271,938.956979
 272,933.516196
 273,931.405953
 274,929.890774
 275,929.481590
 276,934.366213
 277,931.998441
 278,937.508602
 279,936.015917
 280,939.958176
 281,939.625915
 282,942.569798
 283,942.688847
 284,942.464747
 285,940.991044
 286,932.955528
 287,932.907662
 288,934.913014
 289,932.348861
 290,939.517011
 291,938.472698
 292,938.198879
 293,938.575109
 294,938.974068
 295,937.607312
 296,938.348937
 297,935.740361
 298,932.283531
 299,930.870004
 300,939.643046
 301,937.659435
 302,935.709494
 303,934.312881
 304,934.906652
 305,935.013123
 306,934.953519
 307,934.500453
 308,934.273329
 309,932.438073
 310,921.085283
 311,920.522364
 312,937.202312
 313,934.940430
 314,935.350577
 315,934.066704
 316,938.757908
 317,938.110639
 318,927.735235
 319,927.753899
 320,938.121819
 321,936.622411
 322,949.840009
 323,949.421662
 324,942.707965
 325,940.451718
 326,938.737224
 327,936.338412
 328,937.453305
 329,937.130543
 330,939.494433
 331,937.543555
 332,945.691680
 333,943.556198
 334,923.621280
 335,922.746324
 336,943.286829
 337,940.937218
 338,947.711995
 339,945.074634
 340,932.728992
 341,931.415241
 342,938.830662
 343,938.808610
 344,938.409537
 345,936.833338
 346,933.782100
 347,932.798813
 348,942.774695
 349,941.224188
 350,935.054521
 351,933.566988
 352,935.243393
 353,934.448632
 354,940.921441
 355,939.018737
 356,940.860201
 357,939.400937
 358,938.386496
 359,937.754593
 360,941.102257
 361,937.908988
 362,937.238546
 363,936.211725
 364,940.440652
 365,940.833883
 366,940.893664
 367,940.786306
 368,948.933325
 369,946.797980
 370,941.639204
 371,941.806785
 372,942.963888
 373,942.166433
 374,938.487811
 375,937.068607
 376,933.682470
 377,930.487214
 378,880.690867
 379,881.034056
 380,939.530563
 381,937.456096
 382,939.853536
 383,939.716517
 384,941.240555
 385,938.950238
 386,934.288469
 387,932.793913
 388,934.776137
 389,934.681214
 390,938.634981
 391,939.008997
 392,937.511363
 393,935.532946
 394,935.003495
 395,933.290603
 396,940.752703
 397,940.928091
 398,941.249248
 399,939.772307
 400,936.881791
 401,936.385343
 402,937.282011
 403,935.289961
 404,943.332561
 405,942.592494
 406,937.412740
 407,936.844929
 408,937.804380
 409,935.649055
 410,933.542163
 411,931.937492
 412,941.258787
 413,940.654275
 414,941.555746
 415,941.645651
 416,936.317760
 417,933.987201
 418,937.839746
 419,937.873262
 420,932.786577
 421,930.239499
 422,930.847701
 423,930.875030
 424,931.891074
 425,931.307163
 426,941.575145
 427,941.199501
 428,943.043099
 429,941.459768
 430,938.630145
 431,937.227605
 432,938.965814
 433,937.493220
 434,935.907675
 435,934.317052
 436,936.546956
 437,935.642029
 438,931.152259
 439,932.078985
 440,936.205058
 441,933.750172
 442,932.167895
 443,930.038990
 444,947.445997
 445,944.050376
 446,942.591133
 447,940.978384
 448,934.719877
 449,935.061722
 450,935.641777
 451,935.567654
 452,940.114057
 453,938.781931
 454,940.204829
 455,939.052684
 456,938.286279
 457,937.293927
 458,936.031285
 459,933.542391
 460,948.728676
 461,949.232470
 462,938.425473
 463,939.553681
 464,941.709796
 465,940.224972
 466,932.492201
 467,931.850476
 468,929.310981
 469,926.922328
 470,944.408427
 471,942.139030
 472,940.085977
 473,938.907468
 474,934.056916
 475,932.551432
 476,938.829543
 477,938.012125
 478,930.835534
 479,929.747224
 480,942.562361
 481,940.952428
 482,951.767605
 483,950.779774
 484,939.213407
 485,938.091720
 486,937.563739
 487,937.643188
 488,946.906889
 489,944.460297
 490,937.150096
 491,937.281930
 492,933.379114
 493,931.259074
 494,934.649141
 495,932.931306
 496,937.955871
 497,937.365315
 498,937.292017
 499,935.340697
 500,937.396873
 501,935.425000
 502,936.938557
 503,937.251822
 504,937.732617
 505,934.987362
 506,943.370358
 507,934.396865
 508,937.892022
 509,937.016937
 510,948.408205
 511,948.186283
 512,940.273627
 513,938.775525
 514,929.538923
 515,928.688231
 516,950.196435
 517,948.291592
 518,942.502833
 519,938.329905
 520,933.627552
 521,934.899071
 522,946.200173
 523,944.771553
 524,947.045930
 525,945.533571
 526,938.102819
 527,938.309055
 528,950.289310
 529,948.099584
 530,947.597546
 531,945.929858
 532,942.670310
 533,940.622238
 534,943.350388
 535,942.224482
 536,937.342872
 537,935.733315
 538,946.817434
 539,947.039517
 540,934.767223
 541,932.693802
 542,935.904349
 543,933.874589
 544,937.397443
 545,936.329743
 546,940.062008
 547,940.174357
 548,924.456480
 549,923.358178
 550,932.184798
 551,930.278325
 552,946.907517
 553,945.670269
 554,945.162285
 555,946.256418
 556,944.617620
 557,945.847479
 558,942.393714
 559,942.638496
 560,940.911038
 561,940.043234
 562,941.077209
 563,939.231810
 564,933.562746
 565,931.983822
 566,936.782018
 567,935.575494
 568,935.169690
 569,933.362347
 570,934.233474
 571,934.225098
 572,936.199041
 573,934.762898
 574,933.176064
 575,930.766941
 576,944.993522
 577,943.312711
 578,950.966417
 579,949.713340
 580,940.294055
 581,939.296517
 582,931.713042
 583,931.285247
 584,942.651845
 585,941.296694
 586,943.198269
 587,942.413431
 588,944.458116
 589,942.863176
 590,933.310583
 591,931.929330
 592,949.393503
 593,949.408586
 594,942.498214
 595,942.509034
 596,942.847326
 597,941.138201
 598,942.438784
 599,940.035068
 600,938.153348
 601,936.580276
 602,934.765182
 603,933.216067
 604,939.675061
 605,939.925235
 606,936.255159
 607,936.570132
 608,940.578808
 609,939.226485
 610,935.364718
 611,934.483688
 612,947.797607
 613,945.958137
 614,946.202304
 615,944.604459
 616,945.546678
 617,945.575428
 618,946.417306
 619,945.078330
 620,940.508747
 621,939.074287
 622,931.257397
 623,929.578273
 624,933.125001
 625,931.674194
 626,936.252985
 627,934.744956
 628,927.902746
 629,927.933782
 630,931.576663
 631,931.090951
 632,929.034909
 633,927.581147
 634,928.797854
 635,926.906115
 636,941.728670
 637,939.585935
 638,939.996349
 639,937.869628
 640,942.406332
 641,942.440152
 642,940.256401
 643,940.005407
 644,939.685822
 645,938.726791
 646,939.779970
 647,938.340375
 648,940.965984
 649,938.878423
 650,948.550389
 651,938.369444
 652,935.318906
 653,934.928442
 654,941.849961
 655,942.279124
 656,943.543446
 657,942.062817
 658,936.783024
 659,936.847812
 660,933.339401
 661,932.671752
 662,930.374690
 663,928.299534
 664,945.110540
 665,944.039720
 666,930.354893
 667,930.357874
 668,933.483876
 669,931.617676
 670,932.178676
 671,931.388943
 672,940.808652
 673,939.275780
 674,938.739488
 675,937.165303
 676,936.048213
 677,935.086053
 678,935.966833
 679,934.947476
 680,929.579657
 681,927.231128
 682,935.476934
 683,936.048293
 684,942.465488
 685,940.971445
 686,927.112827
 687,926.111188
 688,935.673561
 689,935.656531
 690,931.187351
 691,930.584204
 692,940.930568
 693,940.506715
 694,929.025657
 695,928.416176
 696,928.484612
 697,927.284507
 698,925.002460
 699,924.176200
 700,934.017242
 701,934.513136
 702,931.775341
 703,931.878775
 704,942.010308
 705,941.084323
 706,941.291538
 707,941.405537
 708,934.228693
 709,932.554331
 710,933.581181
 711,931.175747
 712,936.502420
 713,935.462466
 714,942.352546
 715,942.337131
 716,934.213788
 717,931.742526
 718,929.866105
 719,929.781335
 720,937.909071
 721,936.568243
 722,928.871914
 723,925.619276
 724,935.065167
 725,934.581306
 726,937.262625
 727,937.540401
 728,929.766410
 729,928.189347
 730,933.390886
 731,933.631841
 732,926.722271
 733,924.385758
 734,931.720010
 735,930.650196
 736,941.296442
 737,941.250962
 738,931.898255
 739,930.905615
 740,934.092713
 741,932.873138
 742,936.600539
 743,936.408687
 744,936.998931
 745,934.891083
 746,939.215802
 747,937.434549
 748,939.100933
 749,938.055616
 750,938.408880
 751,938.556449
 752,935.323590
 753,934.583927
 754,938.079683
 755,938.611999
 756,935.659059
 757,934.441726
 758,931.555251
 759,933.229775
 760,930.477916
 761,930.963921
 762,940.723344
 763,940.980961
 764,931.405408
 765,929.119271
 766,934.160778
 767,934.346303
 768,930.766998
 769,929.402003
 770,928.424980
 771,927.493026
 772,934.167625
 773,934.434794
 774,933.602670
 775,934.048531
 776,938.629320
 777,937.282617
 778,937.841010
 779,936.949624
 780,939.638730
 781,937.855172
 782,946.300693
 783,945.034134
 784,933.623181
 785,933.740135
 786,932.066196
 787,930.387513
 788,927.952098
 789,928.293257
 790,931.802549
 791,931.071399
 792,941.291394
 793,939.810028
 794,928.837624
 795,928.322258
 796,939.709070
 797,939.816686
 798,929.748884
 799,930.106342
 800,939.236871
 801,937.356194
 802,932.754826
 803,933.260191
 804,931.934760
 805,929.684975
 806,932.853575
 807,930.999370
 808,931.173003
 809,929.970512
 810,930.256266
 811,929.824594
 812,934.545547
 813,932.625123
 814,935.707829
 815,934.622831
 816,946.315439
 817,944.865773
 818,942.098650
 819,940.660170
 820,937.014281
 821,935.693600
 822,938.535539
 823,937.729096
 824,939.391338
 825,938.761399
 826,938.125299
 827,938.725192
 828,948.493796
 829,947.099845
 830,935.210153
 831,932.821574
 832,931.876655
 833,932.962062
 834,940.775131
 835,938.204842
 836,938.771335
 837,936.251315
 838,940.774129
 839,940.533648
 840,938.032463
 841,934.738424
 842,939.665103
 843,938.252888
 844,935.092720
 845,933.942280
 846,939.268408
 847,938.012673
 848,938.622668
 849,937.216535
 850,942.940595
 851,940.999146
 852,947.561289
 853,947.798581
 854,936.319161
 855,934.805480
 856,944.609754
 857,946.357738
 858,934.658176
 859,933.802521
 860,934.877002
 861,932.900264
 862,934.230980
 863,933.052359
 864,937.853151
 865,936.342730
 866,941.453216
 867,939.773118
 868,929.557890
 869,928.179621
 870,926.392237
 871,926.735211
 872,930.978544
 873,929.522782
 874,935.686649
 875,934.406095
 876,931.906041
 877,930.489522
 878,931.803187
 879,931.072828
 880,938.615412
 881,938.038639
 882,929.222019
 883,929.083849
 884,928.502473
 885,928.938980
 886,934.938218
 887,934.211076
 888,934.805851
 889,932.701491
 890,937.971514
 891,935.406494
 892,940.511639
 893,939.211804
 894,938.184654
 895,937.349197
 896,931.402413
 897,929.149213
 898,932.972924
 899,932.367094
 900,935.300195
 901,933.482502
 902,937.538826
 903,936.605767
 904,934.838508
 905,934.862361
 906,927.106714
 907,925.759501
 908,931.999384
 909,930.084497
 910,931.089299
 911,930.342538
 912,944.541633
 913,942.222223
 914,940.451500
 915,939.167572
 916,936.282051
 917,934.976600
 918,943.075150
 919,943.431023
 920,937.918602
 921,936.386637
 922,930.691627
 923,930.608569
 924,932.139200
 925,929.689661
 926,930.845693
 927,928.884456
 928,931.943463
 929,930.901996
 930,934.470425
 931,933.895815
 932,936.568815
 933,935.680264
 934,933.699434
 935,932.244978
 936,930.350732
 937,928.679034
 938,930.737470
 939,929.026353
 940,937.042893
 941,936.105720
 942,933.706424
 943,933.699320
 944,929.813441
 945,927.385191
 946,932.641660
 947,931.437640
 948,956.586140
 949,954.295689
 950,938.956479
 951,938.164459
 952,931.701632
 953,931.902888
 954,936.804560
 955,935.434675
 956,942.465449
 957,941.794726
 958,939.008809
 959,939.010353
 960,943.086832
 961,941.533551
 962,937.387734
 963,935.836551
 964,938.083954
 965,937.577231
 966,929.710065
 967,928.952896
 968,931.007843
 969,929.162810
 970,933.560929
 971,933.927933
 972,944.876522
 973,942.494588
 974,934.754056
 975,932.304338
 976,933.529315
 977,933.653686
 978,931.009254
 979,929.326032
 980,943.623458
 981,942.141665
 982,930.369215
 983,929.404170
 984,940.238325
 985,938.741243
 986,937.049801
 987,934.799618
 988,934.516699
 989,933.342265
 990,937.265907
 991,936.189507
 992,930.692662
 993,928.383130
 994,930.991929
 995,929.140814
 996,937.479155
 997,935.964234
 998,931.979660
 999,929.828493
 1000,942.316750
1001,941.917988
1002,933.992502
1003,933.212021
1004,943.525898
1005,942.636016
1006,937.153703
1007,937.484147
1008,931.605927
1009,929.614956
1010,934.154425
1011,932.154383
1012,938.395105
1013,937.789216
1014,941.803855
1015,942.052916
1016,930.871233
1017,932.707933
1018,938.522813
1019,936.731319
1020,941.789480
1021,940.204155
1022,941.329799
1023,941.601366
1024,939.386003
1025,936.528525
1026,935.940160
1027,936.052525
1028,935.320220
1029,933.029803
1030,933.133321
1031,933.272363
1032,934.214165
1033,932.559518
1034,936.653563
1035,935.512679
1036,930.250927
1037,929.915059
1038,931.570164
1039,931.568598
1040,935.968088
1041,934.490754
1042,935.081048
1043,935.334883
1044,934.297702
1045,930.687779
1046,934.989496
1047,933.800764
1048,936.147819
1049,934.581146
1050,941.934750
1051,941.478213
1052,924.877052
1053,923.531314
1054,935.748971
1055,933.860937
1056,934.250269
1057,931.175908
1058,933.431252
1059,935.409849
1060,934.430262
1061,931.792508
1062,938.783917
1063,937.576719
1064,936.987709
1065,935.473107
1066,936.578576
1067,936.003695
1068,935.098181
1069,932.751554
1070,925.423344
1071,924.056914
1072,927.981741
1073,927.725065
1074,936.770874
1075,936.807628
1076,931.189705
1077,929.361071
1078,930.131920
1079,930.218468
1080,938.182225
1081,936.555395
1082,933.126236
1083,932.246479
1084,933.874851
1085,933.127181
1086,936.514873
1087,936.037241
1088,941.045606
1089,939.963767
1090,927.847304
1091,926.575431
1092,941.314655
1093,939.101807
1094,944.907272
1095,943.206518
1096,933.184412
1097,932.124074
1098,945.186037
1099,945.184209
1100,941.553782
1101,941.092895
1102,939.698304
1103,939.875413
1104,939.943281
1105,940.316971
1106,931.680693
1107,929.430617
1108,935.527033
1109,934.640117
1110,942.503528
1111,941.349500
1112,935.547585
1113,933.745558
1114,933.709896
1115,933.511512
1116,934.652719
1117,933.031577
1118,931.158119
1119,929.522882
1120,927.844396
1121,928.017381
1122,934.017085
1123,934.761004
1124,936.249970
1125,935.302837
1126,931.066363
1127,930.216508
1128,939.825400
1129,938.142037
1130,939.159111
1131,938.286230
1132,934.714966
1133,934.006021
1134,937.729716
1135,937.124857
1136,937.978386
1137,934.484761
1138,930.847444
1139,929.222470
1140,939.306919
1141,936.623279
1142,939.164275
1143,937.160070
1144,932.106347
1145,931.884094
1146,931.944943
1147,931.929425
1148,932.198760
1149,931.387394
1150,937.493768
1151,937.458864
1152,940.146132
1153,938.351554
1154,937.807844
1155,936.375630
1156,940.902379
1157,940.305873
1158,935.581823
1159,935.430378
1160,936.476956
1161,934.250268
1162,933.137819
1163,932.686608
1164,933.527770
1165,930.951708
1166,934.998509
1167,933.596187
1168,938.489381
1169,938.630572
1170,935.457130
1171,934.505933
1172,925.720162
1173,923.563812
1174,930.576167
1175,930.709398
1176,938.280670
1177,935.965225
1178,927.705970
1179,926.276019
1180,940.384606
1181,939.345177
1182,934.097231
1183,932.465288
1184,932.183943
1185,930.097463
1186,935.882257
1187,935.862399
1188,934.738178
1189,932.389796
1190,941.049533
1191,940.940919
1192,932.073465
1193,932.448698
1194,931.382468
1195,931.471896
1196,941.998402
1197,941.318620
1198,942.137701
1199,941.433987
1200,934.554917
1201,932.234691
1202,925.925087
1203,924.463908
1204,930.270605
1205,929.746243
1206,939.752216
1207,939.760855
1208,937.826506
1209,935.776244
1210,942.621864
1211,942.101109
1212,936.643825
1213,934.311567
1214,939.678068
1215,938.663152
1216,939.741755
1217,939.124518
1218,937.475169
1219,936.391095
1220,931.305398
1221,930.052751
1222,932.322635
1223,931.071335
1224,936.635671
1225,933.338314
1226,937.898089
1227,936.626752
1228,937.654197
1229,937.840318
1230,938.453793
1231,937.776883
1232,944.097014
1233,942.656323
1234,934.859575
1235,933.516578
1236,936.190731
1237,935.076530
1238,931.930465
1239,930.116543
1240,932.181805
1241,931.707306
1242,929.558988
1243,928.847858
1244,926.598988
1245,926.310768
1246,932.326916
1247,932.316266
1248,935.812698
1249,934.107969
1250,935.982611
1251,934.285193
1252,933.361063
1253,931.314369
1254,938.657050
1255,938.616794
1256,941.663274
1257,941.029299
1258,935.789320
1259,936.075036
1260,941.635139
1261,940.145064
1262,928.017737
1263,925.814877
1264,937.447762
1265,935.993568
1266,937.331314
1267,935.950545
1268,931.132559
1269,929.289456
1270,928.863616
1271,928.075793
1272,931.788582
1273,929.781811
1274,925.654486
1275,927.390571
1276,927.493561
1277,926.413897
1278,933.311045
1279,931.862889
1280,930.344478
1281,933.221761
1282,929.469655
1283,926.300040
1284,933.054446
1285,931.640031
1286,935.727072
1287,935.274240
1288,931.375357
1289,929.872204
1290,933.021863
1291,932.423910
1292,937.998905
1293,936.382113
1294,930.233958
1295,930.551811
1296,931.792981
1297,930.260087
1298,928.320649
1299,926.534146
1300,937.697680
1301,937.576033
1302,931.306296
1303,931.236707
1304,934.906401
1305,933.464311
1306,935.572015
1307,933.524179
1308,936.153908
1309,933.775137
1310,938.463765
1311,937.756121
1312,929.913250
1313,928.826216
1314,937.131171
1315,935.120991
1316,938.752146
1317,936.706340
1318,935.706788
1319,933.704672
1320,937.656037
1321,933.436640
1322,932.876595
1323,931.266007
1324,937.329718
1325,937.663078
1326,935.928296
1327,936.620312
1328,937.588964
1329,936.220646
1330,933.318632
1331,933.101269
1332,939.092698
1333,935.985785
1334,939.312690
1335,936.899960
1336,941.884612
1337,941.067504
1338,940.189116
1339,939.286816
1340,935.496987
1341,933.032884
1342,933.454194
1343,933.576352
1344,941.367972
1345,939.637714
1346,944.692386
1347,944.359439
1348,944.206467
1349,944.005036
1350,941.603885
1351,939.932049
1352,943.553460
1353,943.317109
1354,941.338733
1355,941.335191
1356,938.640856
1357,937.820148
1358,931.854495
1359,929.153281
1360,933.056561
1361,933.131774
1362,935.807522
1363,934.961659
1364,937.936764
1365,936.672391
1366,931.071205
1367,930.946203
1368,942.092795
1369,940.568044
1370,933.105206
1371,929.825886
1372,940.880445
1373,940.877604
1374,941.997165
1375,941.802815
1376,934.316872
1377,932.751032
1378,945.559543
1379,945.359266
1380,931.276217
